name,handle,public_date,raw_body,body_text,summary_text,sources,industry_ids,,,
russell simmons,@UncleRUSH,9-Nov-17,"<div class=""info-body"">
<p>Publicly reported
              November  9, 2017</p>
<p>Multiple women have accused him of rape, sexual assault, or battery. He has stepped down from his companies.</p>
</div>","Publicly reported.        November 9, 2017. Multiple women have accused him of rape, sexual assault, or battery. He has stepped down from his companies.","Multiple women have accused him of rape, sexual assault, or battery. He has stepped down from his companies","['https://www.hollywoodreporter.com/news/writer-jenny-lumet-russell-simmons-sexually-violated-me-guest-column-1062934', 'http://variety.com/2017/film/news/brett-ratner-russell-simmons-masturbation-investigation-1202604434/amp/', 'http://people.com/music/keri-claussen-khalighi-russell-simmons-sexual-assault-allegation-details-denial/', 'http://variety.com/2017/film/news/russell-simmons-jenny-lumet-sexual-assault-allegation-1202626935/', 'https://www.nytimes.com/2017/12/13/arts/music/russell-simmons-rape.html?smid=tw-nytimes&smtyp=cur']",arts-entertainment,,,
robert knepper,@robert_knepper,8-Nov-17,"<div class=""info-body"">
<p>Publicly reported
              November  8, 2017</p>
<p>Multiple women have accused him of sexual assault.</p>
</div>","Publicly reported.        November 8, 2017. Multiple women have accused him of sexual assault.",Multiple women have accused him of sexual assault,"['https://www.hollywoodreporter.com/news/robert-knepper-accused-sexual-assault-by-veteran-costume-designer-1055914', 'http://www.vulture.com/2017/12/four-more-women-accuse-robert-knepper-of-sexual-assault.html', 'https://www.hollywoodreporter.com/news/four-more-women-accuse-actor-robert-knepper-sexual-misconduct-1064277?utm_source=Sailthru&utm_medium=email&utm_campaign=THR%20Breaking%20News_now_2017-12-05%2007:39:00_HLewis&utm_term=hollywoodreporter_breakingnews']",arts-entertainment,,,
jeffrey tambor,@jefftambor,8-Nov-17,"<div class=""info-body"">
<p>Publicly reported
              November  8, 2017</p>
<p>Multiple women have reported that he sexually harassed or forcibly kissed them. He has left the show Transparent.</p>
</div>","Publicly reported.        November 8, 2017. Multiple women have reported that he sexually harassed or forcibly kissed them. He has left the show Transparent.",Multiple women have reported that he sexually harassed or forcibly kissed them. He has left the show Transparent,"['http://deadline.com/2017/11/jeffrey-tambor-sexual-harassment-claims-amazon-1202204220/', 'https://www.nytimes.com/2017/12/06/arts/television/jeffrey-tambor-transparent.html', 'https://www.hollywoodreporter.com/live-feed/jeffrey-tambor-officially-fired-transparent-wake-harassment-claims-1085236']",arts-entertainment,,,
ed westwick,@EdWestwick,7-Nov-17,"<div class=""info-body"">
<p>Publicly reported
              November  7, 2017</p>
<p>Multiple women have accused him of sexual assault or rape. Several television shows have been postponed or have paused his involvement while police investigate.</p>
</div>","Publicly reported.        November 7, 2017. Multiple women have accused him of sexual assault or rape. Several television shows have been postponed or have paused his involvement while police investigate.",Multiple women have accused him of sexual assault or rape. Several television shows have been postponed or have paused his involvement while police investigate,"['https://www.thecut.com/2017/11/gossip-girls-ed-westwick-accused-of-raping-kristina-cohen.html', 'https://www.buzzfeed.com/mbvd/a-third-woman-says-gossip-girl-star-ed-westwick-sexually', 'http://www.telegraph.co.uk/news/2017/11/10/bbc-drops-agatha-christie-drama-starring-ed-westwick-police/']",arts-entertainment,,,
adam venit,@AdamVenit,3-Nov-17,"<div class=""info-body"">
<p>Publicly reported
              November  3, 2017</p>
<p>A man has reported that Venit sexually assaulted him. Venit was suspended for a month and has been demoted.</p>
</div>","Publicly reported.        November 3, 2017. A man has reported that Venit sexually assaulted him. Venit was suspended for a month and has been demoted.",A man has reported that Venit sexually assaulted him. Venit was suspended for a month and has been demoted,"['http://variety.com/2017/biz/news/adam-venit-terry-crews-sexual-harassment-1202605857/', 'http://variety.com/2017/biz/news/terry-crews-adam-venit-lawsuit-sexual-assault-1202631393/', 'http://variety.com/2017/biz/news/adam-venit-returns-wme-img-terry-crews-1202623591/']",arts-entertainment,,,
danny masterson,@dannymasterson,2-Nov-17,"<div class=""info-body"">
<p>Publicly reported
              November  2, 2017</p>
<p>Multiple women have reported that he raped them. He has been written out of Netflix’s The Ranch, and law enforcement has begun an investigation into the case.</p>
</div>","Publicly reported.        November 2, 2017. Multiple women have reported that he raped them. He has been written out of Netflix’s The Ranch, and law enforcement has begun an investigation into the case.","Multiple women have reported that he raped them. He has been written out of Netflix’s The Ranch, and law enforcement has begun an investigation into the case","['https://www.huffingtonpost.com/entry/danny-masterson-rape-accusations_us_59fa8410e4b01b474048242a?9o4', 'http://variety.com/2017/tv/news/danny-masterson-netflixs-the-ranch-1202630710/']",arts-entertainment,,,
nick carter,@nickcarter,2-Nov-17,"<div class=""info-body"">
<p>Publicly reported
              November  2, 2017</p>
<p>A woman has reported that he sexually assaulted her in 2003. Prosecutors have declined to bring criminal charges because the statute of limitations has expired.</p>
</div>","Publicly reported.        November 2, 2017. A woman has reported that he sexually assaulted her in 2003. Prosecutors have declined to bring criminal charges because the statute of limitations has expired.",A woman has reported that he sexually assaulted her in 2003. Prosecutors have declined to bring criminal charges because the statute of limitations has expired,"['https://melissaexplainsitall.wordpress.com/2017/11/02/__trashed/', 'https://www.cnn.com/2018/09/12/entertainment/nick-carter-sexual-assault-case/index.html']",arts-entertainment,,,
brett ratner,@BrettRatner,1-Nov-17,"<div class=""info-body"">
<p>Publicly reported
              November  1, 2017</p>
<p>Multiple women have said he sexually assaulted or harassed them.</p>
</div>","Publicly reported.        November 1, 2017. Multiple women have said he sexually assaulted or harassed them.",Multiple women have said he sexually assaulted or harassed them,"['http://www.latimes.com/business/hollywood/la-fi-ct-brett-ratner-allegations-20171101-htmlstory.html', 'https://www.facebook.com/EllenPage/posts/10155212835577449', 'http://www.nydailynews.com/news/national/fear-natasha-henstridge-quiet-ratner-assault-allegations-article-1.3605363']",arts-entertainment,,,
dustin hoffman,@DustinHoffman,1-Nov-17,"<div class=""info-body"">
<p>Publicly reported
              November  1, 2017</p>
<p>Multiple women have said he sexually harassed or assaulted them.</p>
</div>","Publicly reported.        November 1, 2017. Multiple women have said he sexually harassed or assaulted them.",Multiple women have said he sexually harassed or assaulted them,"['https://www.hollywoodreporter.com/features/dustin-hoffman-sexually-harassed-me-i-was-17-guest-column-1053466', 'https://www.vox.com/culture/2017/12/5/16737650/john-oliver-dustin-hoffman-sexual-harassment', 'http://variety.com/2017/biz/news/dustin-hoffman-2-1202641525/']",arts-entertainment,,,
andy dick,@andydick,31-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 31, 2017</p>
<p>Multiple people said he groped and harassed men and women on film sets. He has been fired from two films.</p>
</div>","Publicly reported.        October 31, 2017. Multiple people said he groped and harassed men and women on film sets. He has been fired from two films.",Multiple people said he groped and harassed men and women on film sets. He has been fired from two films,"['https://www.hollywoodreporter.com/rambling-reporter/andy-dick-fired-movie-sexual-harassment-claims-1053162', 'http://www.vulture.com/2017/11/andy-dick-fired-from-another-film-for-groping-and-harassment.html']",arts-entertainment,,,
jeremy piven,@jeremypiven,31-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 31, 2017</p>
<p>Multiple women have said he sexually assaulted or harassed them.</p>
</div>","Publicly reported.        October 31, 2017. Multiple women have said he sexually assaulted or harassed them.",Multiple women have said he sexually assaulted or harassed them,"['https://www.hollywoodreporter.com/live-feed/cbs-looking-jeremy-piven-sexual-harassment-allegations-1053510', 'http://people.com/tv/jeremy-piven-accused-sexual-assault-tiffany-bacon-scourby/']",arts-entertainment,,,
kevin spacey,@KevinSpacey,29-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 29, 2017</p>
<p>Multiple men have reported that he sexually harassed or assaulted them, or made sexual advances when they were underage. He has been fired from House of Cards and police are investigating.</p>
</div>","Publicly reported.        October 29, 2017. Multiple men have reported that he sexually harassed or assaulted them, or made sexual advances when they were underage. He has been fired from House of Cards and police are investigating.","Multiple men have reported that he sexually harassed or assaulted them, or made sexual advances when they were underage. He has been fired from House of Cards and police are investigating","['https://www.buzzfeed.com/adambvary/anthony-rapp-kevin-spacey-made-sexual-advance-when-i-was-14?utm_term=.iu423zYw1Y#.nevrx9d73d', 'https://www.vox.com/culture/2017/11/3/16602628/kevin-spacey-sexual-assault-allegations-house-of-cards', 'https://apnews.com/d5ff8478db964d2d88abb3f74e13f191?utm_campaign=SocialFlow&utm_source=Twitter&utm_medium=AP', 'http://money.cnn.com/2017/11/02/media/house-of-cards-kevin-spacey-harassment/index.html', 'http://www.vulture.com/2017/11/kevin-spacey-alleged-sexual-relationship.html', 'https://www.theverge.com/2017/11/3/16605494/kevin-spacey-netflix-house-of-cards-fired', 'http://www.nydailynews.com/entertainment/gossip/timeline-downfall-kevin-spacey-article-1.3611089', 'http://www.telegraph.co.uk/news/2017/11/22/kevin-spacey-investigated-second-london-sex-allegation/']",arts-entertainment,,,
kirt webster,,27-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 27, 2017</p>
<p>A man has said Webster sexually assaulted him. Webster has stepped away from his PR firm.</p>
</div>","Publicly reported.        October 27, 2017. A man has said Webster sexually assaulted him. Webster has stepped away from his PR firm.",A man has said Webster sexually assaulted him. Webster has stepped away from his PR firm,"['https://www.nashvillescene.com/news/article/20981170/former-country-singer-accuses-pr-exec-kirt-webster-of-sexual-misconduct', 'https://www.rollingstone.com/country/news/nashville-publicist-kirt-webster-accused-of-sexual-assault-w510782']",arts-entertainment,,,
ken baker,,26-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 26, 2017</p>
<p>Two women have said he sexually harassed them. He is not appearing on air while E investigates.</p>
</div>","Publicly reported.        October 26, 2017. Two women have said he sexually harassed them. He is not appearing on air while E investigates.",Two women have said he sexually harassed them. He is not appearing on air while E investigates,"['https://www.thewrap.com/ken-baker-e-news-sexual-harassment-from-an-unwanted-kiss-to-a-text-about-a-sex-toy/', 'http://variety.com/2017/tv/news/ken-baker-e-sexual-harassment-allegations-1202600640/']",arts-entertainment,,,
ethan kath,@ETHANKATH,24-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 24, 2017</p>
<p>A former bandmate has reported that he raped and physically and psychologically abused her.</p>
</div>","Publicly reported.        October 24, 2017. A former bandmate has reported that he raped and physically and psychologically abused her.",A former bandmate has reported that he raped and physically and psychologically abused her,['https://www.dailydot.com/upstream/alice-glass-ethan-kath-abuse/?tw=dd'],arts-entertainment,,,
james toback,@JamesToback,22-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 22, 2017</p>
<p>More than 200 women have reported unwanted touching or advances, including several who said he masturbated in front of them. He has been dropped by his agent.</p>
</div>","Publicly reported.        October 22, 2017. More than 200 women have reported unwanted touching or advances, including several who said he masturbated in front of them. He has been dropped by his agent.","More than 200 women have reported unwanted touching or advances, including several who said he masturbated in front of them. He has been dropped by his agent","['http://www.latimes.com/entertainment/la-et-mn-james-toback-sexual-harassment-allegations-20171018-story.html', 'http://beta.latimes.com/entertainment/movies/la-et-mn-toback-follow-up-20171023-story.html', 'https://www.hollywoodreporter.com/news/james-tobacks-agent-no-longer-representing-him-1051016']",arts-entertainment,,,
david blaine,@davidblaine,19-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 19, 2017</p>
<p>A woman has reported that he raped her. Police are investigating.</p>
</div>","Publicly reported.        October 19, 2017. A woman has reported that he raped her. Police are investigating.",A woman has reported that he raped her. Police are investigating,['https://www.thedailybeast.com/exclusive-former-model-accuses-david-blaine-of-rape'],arts-entertainment,,,
chris savino,,19-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 19, 2017</p>
<p>Multiple women have reported that he sexually harassed them or subjected them to unwanted advances or other inappropriate behavior. He has been fired.</p>
</div>","Publicly reported.        October 19, 2017. Multiple women have reported that he sexually harassed them or subjected them to unwanted advances or other inappropriate behavior. He has been fired.",Multiple women have reported that he sexually harassed them or subjected them to unwanted advances or other inappropriate behavior. He has been fired,['https://www.hollywoodreporter.com/live-feed/nickelodeon-fires-loud-house-creator-sexual-harassment-allegations-1050485'],arts-entertainment,,,
bob weinstein,@BobWeinstein,17-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 17, 2017</p>
<p>A woman has said that he sexually harassed her over a period of months.</p>
</div>","Publicly reported.        October 17, 2017. A woman has said that he sexually harassed her over a period of months.",A woman has said that he sexually harassed her over a period of months,['http://variety.com/2017/tv/news/bob-weinstein-sexual-harassment-1202592165/'],arts-entertainment,,,
tyler grasham,@TylerGrasham,17-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 17, 2017</p>
<p>Multiple men have said that he sexually assaulted them or made unwanted advances. He has been fired, and police have launched an investigation.</p>
</div>","Publicly reported.        October 17, 2017. Multiple men have said that he sexually assaulted them or made unwanted advances. He has been fired, and police have launched an investigation.","Multiple men have said that he sexually assaulted them or made unwanted advances. He has been fired, and police have launched an investigation","['http://variety.com/2017/tv/news/stranger-things-apa-1202595288/', 'http://deadline.com/2017/10/apa-agent-sexual-harassment-fourth-accuser-michael-podraza-1202194965/', 'http://variety.com/2017/biz/news/tyler-grasham-lapd-investigation-apa-agent-sexual-assault-sodomy-1202601993/', 'https://www.facebook.com/monoculture/posts/10211523344612609']",arts-entertainment,,,
lars von trier,,17-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 17, 2017</p>
<p>A woman has accused him of a months-long pattern of sexual harassment.</p>
</div>","Publicly reported.        October 17, 2017. A woman has accused him of a months-long pattern of sexual harassment.",A woman has accused him of a months-long pattern of sexual harassment,"['https://www.facebook.com/bjork/posts/10155782628166460', 'https://www.theguardian.com/film/2017/oct/17/not-the-case-lars-von-trier-denies-sexually-harassing-bjork']",arts-entertainment,,,
roy price,@RoyPrice,12-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 12, 2017</p>
<p>A woman has reported that he sexually harassed her. He has resigned from Amazon.</p>
</div>","Publicly reported.        October 12, 2017. A woman has reported that he sexually harassed her. He has resigned from Amazon.",A woman has reported that he sexually harassed her. He has resigned from Amazon,"['https://www.hollywoodreporter.com/live-feed/amazon-suspends-top-exec-roy-price-wake-harassment-claim-1000036', 'https://www.nytimes.com/2017/10/17/business/media/roy-price-amazon-studios.html', 'https://www.nytimes.com/2017/10/17/business/media/roy-price-amazon-studios.html']",arts-entertainment,,,
oliver stone,@TheOliverStone,12-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 12, 2017</p>
<p>One woman has reported that he groped her, while another said his behavior after a meeting made her uncomfortable.</p>
</div>","Publicly reported.        October 12, 2017. One woman has reported that he groped her, while another said his behavior after a meeting made her uncomfortable.","One woman has reported that he groped her, while another said his behavior after a meeting made her uncomfortable","['http://www.hollywoodreporter.com/news/oliver-stone-accused-groping-tv-actress-early-1990s-1048468', 'https://www.allure.com/story/patricia-arquette-carrie-stevens-accuse-oliver-stone-sexual-misconduct', 'https://twitter.com/CarrieStevensXO/status/918648740981780480?ref_src=twsrc%5Etfw&ref_url=http%3A%2F%2Fpeople.com%2Fmovies%2Fcarrie-stevens-harvey-weinstein-oliver-stone%2F']",arts-entertainment,,,
ben affleck,@BenAffleck,10-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October 10, 2017</p>
<p>Two women have reported that he groped them.</p>
</div>","Publicly reported.        October 10, 2017. Two women have reported that he groped them.",Two women have reported that he groped them,"['http://www.thedailybeast.com/ben-affleck-is-accused-of-groping-actress-hilarie-burton', 'https://www.vox.com/culture/2017/10/13/16465216/ben-affleck-harvey-weinstein-sexual-harassment', 'https://twitter.com/HilarieBurton/status/917898877663096832?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fwww.vox.com%2Fculture%2F2017%2F10%2F13%2F16465216%2Fben-affleck-harvey-weinstein-sexual-harassment']",arts-entertainment,,,
nelly,@Nelly_Mo,7-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October  7, 2017</p>
<p>A woman has reported that he sexually assaulted her.</p>
</div>","Publicly reported.        October 7, 2017. A woman has reported that he sexually assaulted her.",A woman has reported that he sexually assaulted her,"['http://www.tmz.com/2017/10/07/nelly-arrested-rape-washington/', 'http://www.tmz.com/2017/12/20/nelly-sued-by-rape-accuser-sexual-assault-defamation/', 'http://www.xxlmag.com/news/2017/12/nelly-sued-sexual-assault-defamation/']",arts-entertainment,,,
harvey weinstein,@HarveyWeinstein,5-Oct-17,"<div class=""info-body"">
<p>Publicly reported
              October  5, 2017</p>
<p>More than 80 women have reported that he sexually harassed, sexually assaulted, or raped them, in incidents dating back decades. He has been fired from the Weinstein Company.</p>
</div>","Publicly reported.        October 5, 2017. More than 80 women have reported that he sexually harassed, sexually assaulted, or raped them, in incidents dating back decades. He has been fired from the Weinstein Company.","More than 80 women have reported that he sexually harassed, sexually assaulted, or raped them, in incidents dating back decades. He has been fired from the Weinstein Company","['https://www.nytimes.com/2017/10/05/us/harvey-weinstein-harassment-allegations.html?_r=0', 'https://www.vox.com/culture/2017/10/11/16460164/harvey-weinstein-sexual-harassment-assault-accusations', 'http://www.latimes.com/business/hollywood/la-me-weinstein-sued-women-20171206-story.html', 'http://www.cnn.com/2017/11/30/entertainment/paz-de-la-huerta-weinstein-investigation/index.html']",arts-entertainment,,,
hadrian belove,@hadrianbelove,23-Aug-17,"<div class=""info-body"">
<p>Publicly reported
              August 23, 2017</p>
<p>A woman has reported that he sexually harassed her, and others say he judged female employees on their looks and dated subordinates. He has resigned.</p>
</div>","Publicly reported.        August 23, 2017. A woman has reported that he sexually harassed her, and others say he judged female employees on their looks and dated subordinates. He has resigned.","A woman has reported that he sexually harassed her, and others say he judged female employees on their looks and dated subordinates. He has resigned","['https://jezebel.com/after-allegations-of-exploiting-young-women-former-cin-1798320468', 'https://www.buzzfeed.com/arianelange/cinefamily-women?utm_term=.qfPWBKZkV#.enDOJrjZa', 'http://variety.com/2017/film/news/cinefamily-harassment-drafthouse-culture-hadrian-belove-1202579620/', 'https://jezebel.com/former-cinefamily-employees-allege-mishandling-of-sexua-1798440765']",arts-entertainment,,,
shadie elnashai,@shadie83,23-Aug-17,"<div class=""info-body"">
<p>Publicly reported
              August 23, 2017</p>
<p>Multiple people have said he inappropriately touched or pursued female subordinates. He has resigned.</p>
</div>","Publicly reported.        August 23, 2017. Multiple people have said he inappropriately touched or pursued female subordinates. He has resigned.",Multiple people have said he inappropriately touched or pursued female subordinates. He has resigned,"['https://jezebel.com/after-allegations-of-exploiting-young-women-former-cin-1798320468', 'https://www.buzzfeed.com/arianelange/cinefamily-women?utm_term=.qfPWBKZkV#.enDOJrjZa', 'https://jezebel.com/former-cinefamily-employees-allege-mishandling-of-sexua-1798440765']",arts-entertainment,,,
roman polanski,@romanpolanski,15-Aug-17,"<div class=""info-body"">
<p>Publicly reported
              August 15, 2017</p>
<p>Multiple women have reported that he raped or sexually abused them when they were under 18. He has pleaded guilty to statutory rape.</p>
</div>","Publicly reported.        August 15, 2017. Multiple women have reported that he raped or sexually abused them when they were under 18. He has pleaded guilty to statutory rape.",Multiple women have reported that he raped or sexually abused them when they were under 18. He has pleaded guilty to statutory rape,['https://www.vox.com/culture/2017/8/17/16156902/roman-polanski-child-rape-charges-explained-samantha-geimer-robin-m'],arts-entertainment,,,
les moonves,@LeslieMoonves,27-Jul-18,"<div class=""info-body"">
<p>Publicly reported
              August  6, 2018</p>
<p>Multiple women have said he sexually harassed or assaulted them. He has stepped down from CBS.</p>
</div>","Publicly reported.        August 6, 2018. Multiple women have said he sexually harassed or assaulted them. He has stepped down from CBS.",Multiple women have said he sexually harassed or assaulted them. He has stepped down from CBS,"['https://www.newyorker.com/magazine/2018/08/06/les-moonves-and-cbs-face-allegations-of-sexual-misconduct', 'https://www.newyorker.com/news/news-desk/as-leslie-moonves-negotiates-his-exit-from-cbs-women-raise-new-assault-and-harassment-claims', 'https://www.nytimes.com/2018/09/09/business/les-moonves-longtime-cbs-chief-may-be-gone-by-monday.html']",media,,,
kimberly guilfoyle,@kimguilfoyle,27-Jul-18,"<div class=""info-body"">
<p>Publicly reported
              July 27, 2018</p>
<p>Multiple people have said she showed colleagues photographs of male genitals, discussed sexual matters at work, or was emotionally abusive. She has left Fox News.</p>
</div>","Publicly reported.        July 27, 2018. Multiple people have said she showed colleagues photographs of male genitals, discussed sexual matters at work, or was emotionally abusive. She has left Fox News.","Multiple people have said she showed colleagues photographs of male genitals, discussed sexual matters at work, or was emotionally abusive. She has left Fox News",['https://www.huffingtonpost.com/entry/kimberly-guilfoyle-misconduct-allegations-fox-news_us_5b5a6064e4b0b15aba96f4de'],media,,,
antonin kratochvil,,16-Jul-18,"<div class=""info-body"">
<p>Publicly reported
              July 16, 2018</p>
<p>Multiple people have said he harassed and groped them or others. He has resigned from the photo agency he helped found.</p>
</div>","Publicly reported.        July 16, 2018. Multiple people have said he harassed and groped them or others. He has resigned from the photo agency he helped found.",Multiple people have said he harassed and groped them or others. He has resigned from the photo agency he helped found,"['https://www.cjr.org/special_report/photojournalism-sexual-harassment.php/', 'https://www.vox.com/2018/9/7/17761458/me-too-photojournalism-sexual-harassment-vii']",media,,,
christian rodriguez,,16-Jul-18,"<div class=""info-body"">
<p>Publicly reported
              July 16, 2018</p>
<p>Multiple women say he sexually harassed them, in many cases after offering them mentorship or a job. He has been dropped by the prestigious photographers' collective Prime.</p>
</div>","Publicly reported.        July 16, 2018. Multiple women say he sexually harassed them, in many cases after offering them mentorship or a job. He has been dropped by the prestigious photographers' collective Prime.","Multiple women say he sexually harassed them, in many cases after offering them mentorship or a job. He has been dropped by the prestigious photographers' collective Prime","['https://www.cjr.org/special_report/photojournalism-sexual-harassment.php/', 'https://pdnpulse.pdnonline.com/2018/03/prime-collective-drops-photographer-following-sexual-harassment-allegations.html']",media,,,
tom brokaw,@tombrokaw,26-Apr-18,"<div class=""info-body"">
<p>Publicly reported
              April 26, 2018</p>
<p>Three women have said he made unwanted advances toward them in the 1990s.</p>
</div>","Publicly reported.        April 26, 2018. Three women have said he made unwanted advances toward them in the 1990s.",Three women have said he made unwanted advances toward them in the 1990s,"['http://variety.com/2018/tv/news/tom-brokaw-sexual-harassment-nbc-news-correspondent-1202789627/', 'https://pagesix.com/2018/05/01/third-woman-accuses-tom-brokaw-of-sexual-harassment/', 'https://www.vox.com/explainers/2018/4/28/17296052/tom-brokaw-linda-vester-matt-lauer-nbc']",media,,,
michael ferro,@mwferro,19-Mar-18,"<div class=""info-body"">
<p>Publicly reported
              March 19, 2018</p>
<p>Two women have said Ferro subjected them to unwanted kissing or touching in what they thought were business meetings. Others have said he behaved inappropriately with female employees. He has resigned from Tronc.</p>
</div>","Publicly reported.        March 19, 2018. Two women have said Ferro subjected them to unwanted kissing or touching in what they thought were business meetings. Others have said he behaved inappropriately with female employees. He has resigned from Tronc.",Two women have said Ferro subjected them to unwanted kissing or touching in what they thought were business meetings. Others have said he behaved inappropriately with female employees. He has resigned from Tronc,['http://fortune.com/2018/03/19/tronc-chairman-michael-ferro-allegations/'],media,,,
alex jones,@realalexjones,28-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February 28, 2018</p>
<p>A woman has reported that he groped her, sexually harassed her, and made a racist comment toward her, as well as created a hostile work environment for other women.</p>
</div>","Publicly reported.        February 28, 2018. A woman has reported that he groped her, sexually harassed her, and made a racist comment toward her, as well as created a hostile work environment for other women.","A woman has reported that he groped her, sexually harassed her, and made a racist comment toward her, as well as created a hostile work environment for other women",['http://www.dailymail.co.uk/news/article-5419371/Former-Infowars-employees-claim-Alex-Jones-harassed-them.html'],media,,,
ryan seacrest,@RyanSeacrest,26-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February 26, 2018</p>
<p>A woman has reported that he sexually harassed and assaulted her, including groping her and grinding his genitals against her.</p>
</div>","Publicly reported.        February 26, 2018. A woman has reported that he sexually harassed and assaulted her, including groping her and grinding his genitals against her.","A woman has reported that he sexually harassed and assaulted her, including groping her and grinding his genitals against her",['http://variety.com/2018/tv/news/ryan-seacrest-sexual-abuse-allegations-stylist-details-1202710460/'],media,,,
daniel zwerdling,,6-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February  6, 2018</p>
<p>Multiple people have reported that he sexually harassed them or engaged in inappropriate behavior. He has retired from NPR.</p>
</div>","Publicly reported.        February 6, 2018. Multiple people have reported that he sexually harassed them or engaged in inappropriate behavior. He has retired from NPR.",Multiple people have reported that he sexually harassed them or engaged in inappropriate behavior. He has retired from NPR,"['http://current.org/2018/02/nprs-daniel-zwerdling-out-after-investigation-into-harassment/', 'https://www.npr.org/sections/thetwo-way/2018/02/06/583731713/npr-investigative-reporter-daniel-zwerdling-retires-amid-sexual-misconduct-claim']",media,,,
patrick witty,@patrickwitty,29-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 29, 2018</p>
<p>Multiple women say he subjected them to unwanted kissing or advances. He no longer works at National Geographic.</p>
</div>","Publicly reported.        January 29, 2018. Multiple women say he subjected them to unwanted kissing or advances. He no longer works at National Geographic.",Multiple women say he subjected them to unwanted kissing or advances. He no longer works at National Geographic,['https://www.vox.com/2018/1/29/16934552/exclusive-national-geographic-sexual-misconduct'],media,,,
dayan candappa,,29-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 29, 2018</p>
<p>A subordinate at Reuters reported that he repeatedly sexually harassed her. He was removed from his job at Reuters. Newsweek placed him on leave after the Reuters case became public, but reinstated him after an investigation.</p>
</div>","Publicly reported.        January 29, 2018. A subordinate at Reuters reported that he repeatedly sexually harassed her. He was removed from his job at Reuters. Newsweek placed him on leave after the Reuters case became public, but reinstated him after an investigation.","A subordinate at Reuters reported that he repeatedly sexually harassed her. He was removed from his job at Reuters. Newsweek placed him on leave after the Reuters case became public, but reinstated him after an investigation","['https://www.buzzfeed.com/rossalyn/newsweek-media-group?utm_term=.unkPVGXGN#.beodeVlVa', 'http://money.cnn.com/2018/02/09/media/newsweek-dayan-candappa/index.html']",media,,,
robert moore,,22-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 22, 2018</p>
<p>Multiple former employees have said he sexually harassed co-workers. He has been fired.</p>
</div>","Publicly reported.        January 22, 2018. Multiple former employees have said he sexually harassed co-workers. He has been fired.",Multiple former employees have said he sexually harassed co-workers. He has been fired,"['https://www.npr.org/sections/thetwo-way/2018/01/22/579840869/new-york-daily-news-exec-investigated-after-harassment-complaint', 'https://www.huffingtonpost.com/entry/ny-daily-news-editors-out_us_5a70b69fe4b0be822ba0eda9', 'https://www.huffingtonpost.com/entry/daily-news-rob-moore_us_5a68d1c8e4b0e5630075d434']",media,,,
ross levinsohn,@rosslevinsohn,18-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 18, 2018</p>
<p>He has been sued in two separate sexual harassment lawsuits. He was placed on unpaid leave at the Los Angeles Times, and then resigned. After an investigation cleared him, he was named CEO of a new unit within the Times’s parent company, Tronc.</p>
</div>","Publicly reported.        January 18, 2018. He has been sued in two separate sexual harassment lawsuits. He was placed on unpaid leave at the Los Angeles Times, and then resigned. After an investigation cleared him, he was named CEO of a new unit within the Times’s parent company, Tronc.","He has been sued in two separate sexual harassment lawsuits. He was placed on unpaid leave at the Los Angeles Times, and then resigned. After an investigation cleared him, he was named CEO of a new unit within the Times’s parent company, Tronc","['https://www.npr.org/2018/01/18/578612534/accusations-of-frat-house-behavior-trail-la-times-publisher-s-career', 'http://www.latimes.com/business/hollywood/la-fi-ct-ross-levinsohn-leave-20180119-story.html', 'http://www.latimes.com/business/hollywood/la-fi-ct-los-angeles-times-sold-20180207-story.html', 'http://www.latimes.com/business/hollywood/la-fi-ct-ross-levinsohn-ceo-tribune-interactive-20180207-story.html']",media,,,
